participant_id,frame,t_l,med_rt_obs,p_ll_obs,med_rt_prd,p_ll_prd
50,date,64,3.735,0.6666666666666666,3.2389553423332993,0.6695451704377944
50,date,128,3.245,0.25,3.2456872589149013,0.43276908197875313
52,delay,2,2.0199999999999996,0.75,2.693625721786953,0.9930917498643443
52,delay,4,2.72,0.9090909090909091,2.6474140683522362,0.9949667676115956
52,delay,8,2.64,0.9166666666666666,2.7488331883274486,0.9901368217760516
52,delay,16,2.715,0.3333333333333333,3.1737921260704876,0.8336734719992279
52,delay,32,3.025,0.5833333333333334,3.2918566212034066,0.6291994173696318
52,delay,64,2.95,0.6666666666666666,3.3029802132920976,0.38171798145369273
52,delay,128,3.4400000000000004,0.3333333333333333,3.187081620073135,0.14555500606421942
52,date,2,2.78,1,2.6841075519288746,0.9935128566526655
52,date,4,3.55,1,2.639655105161873,0.9952319482531533
52,date,8,3.5300000000000002,1,2.737323064947752,0.9908355046301259
52,date,16,3.27,0.75,3.1566691698640708,0.8500418711279434
52,date,32,4.545,0.75,3.2834050030726405,0.6569476852667583
52,date,64,5.39,0.5833333333333334,3.305118381703507,0.4118236650732925
52,date,128,2.87,0,3.2030798361834405,0.16210377979107288
56,delay,2,2.9699999999999998,1,3.4751469925313736,0.9999
56,delay,4,5.165,1,4.2195770814466655,0.9974717947562216
56,delay,8,7.135,0.8333333333333334,4.986585376334372,0.9678420976012362
56,delay,16,6.645,0.25,5.570145713264712,0.7568829385902635
56,delay,32,5.53,0.09090909090909091,5.660093586779713,0.5400668407548678
56,delay,64,6.63,0,5.658036449362859,0.5589046351469295
56,delay,128,5.074999999999999,0,5.5925475276503205,0.26568067335225415
56,date,2,3.29,1,3.3393944271697955,0.9999
56,date,4,3.1550000000000002,1,4.014394035348022,0.9988654179522294
56,date,8,5.65,1,4.78057428456459,0.9828114345875639
56,date,16,7.859999999999999,0.5833333333333334,5.485534742614373,0.8299335907948804
56,date,32,7.55,0.5,5.640048630111467,0.637054033978079
56,date,64,6.73,0.18181818181818182,5.634149730733871,0.6551001614654186
56,date,128,3.55,0,5.622336910787566,0.3172957560576774
62,delay,2,2.84,1,2.4197048389169358,0.99232516493073
62,delay,4,3.0149999999999997,0.75,2.6517526015067854,0.9319090485095456
62,delay,8,3.01,0.9166666666666666,2.706601077897169,0.886459450588892
62,delay,16,3.18,0.3333333333333333,2.7087289364137943,0.8874218830196414
62,delay,32,3.4,0.75,2.7395935597851424,0.8481378782667833
62,delay,64,3.435,0,2.7946377559898483,0.2982263234884493
62,delay,128,2.565,0.5833333333333334,2.8115342197250914,0.42567003358741395
62,date,2,2.5949999999999998,1,2.3894290408740355,0.9944111391811667
62,date,4,2.235,0.9166666666666666,2.617764440427888,0.9497707468903734
62,date,8,2.635,0.8333333333333334,2.6763442565940085,0.914442858641761
62,date,16,2.525,0.9166666666666666,2.678678277930902,0.9154176301266774
62,date,32,3.0549999999999997,0.9166666666666666,2.7132082328980665,0.8840230486716235
62,date,64,2.245,0.08333333333333333,2.8022885754958655,0.34020700776143376
62,date,128,2.17,0,2.8131700384343516,0.482594106931545
65,delay,2,2.85,1,2.621118985775669,0.973861855732065
65,delay,4,2.895,0.9,2.2961867999104406,0.9985115384877402
65,delay,8,2.075,1,2.4242875197493454,0.9951176519631333
65,delay,16,2.48,0.75,2.6642921472849634,0.9663463009180262
65,delay,32,3.605,0.16666666666666666,2.883518165837011,0.7991253933640792
65,delay,64,2.9050000000000002,0.4166666666666667,2.9410719359376705,0.5196372462238028
65,delay,128,2.51,0.6666666666666666,2.937736503967597,0.39431035341705434
65,date,2,2.11,1,2.395875460732835,0.9961182294158692
65,date,4,2.44,1,2.185139540067915,0.9995736960170476
65,date,8,2.67,1,2.261817962267296,0.9989672142852185
65,date,16,2.41,1,2.4298592667445496,0.9947408821520802
65,date,32,2.9800000000000004,0.9166666666666666,2.671160405396381,0.9636113729518189
