participant_id,percentile,neutral,defer,speedup
64,10%,1.855812986095407,1.994235495996145,2.047087267455936
64,30%,2.173195745558769,2.5169322526551694,2.3292183089484753
64,50%,2.481140671934554,2.9884934794263245,2.6816658138213825
64,70%,2.7793079537303127,3.4361825384215985,3.2079125272852247
64,90%,3.391058956479901,4.694470296705913,3.993463383763446
67,10%,1.9014620984614339,1.8858735717334185,1.9956156714913957
67,30%,2.326695074338841,2.2993058674584974,2.3050489841899893
67,50%,2.731333976757469,2.6511672258811814,2.757763128601937
67,70%,3.1714963524182167,2.97187510775143,3.2507782949441206
67,90%,3.7438603504863748,4.255198583162884,4.065838130134307
69,10%,1.856987500980722,2.023875030059571,1.9531485124644858
69,30%,2.6577172120132673,2.6004138995467656,2.219488640970485
69,50%,3.205470265648728,3.1280389047888093,2.678798160262886
69,70%,3.747119129895509,3.7775576749654647,3.1842917547650353
69,90%,4.512352111637483,4.749181815721386,3.911155525128379
86,10%,1.7828309013893886,1.6341975007344445,1.6621159795384302
86,30%,1.9933525946962618,1.973890008917078,1.8879436441839061
86,50%,2.169957023823372,2.3253827919907053,2.2215071657974477
86,70%,2.385861392807783,2.684390881764557,2.392392536843181
86,90%,2.725817734351949,3.3036166714533466,3.0776020332028566
87,10%,1.6778129579885444,1.9483889235641527,1.9628485447437924
87,30%,2.2730552619916127,2.3169759837735455,2.297148804823337
87,50%,2.794275589622657,2.902242413048725,3.0037154710107643
87,70%,3.4100148149924276,3.553562294448284,3.863077774415615
87,90%,4.291750104426591,4.625323175380117,4.69082884571344
88,10%,2.0129834132450926,1.7863841792597668,2.027059557845496
88,30%,2.3492102934366814,2.0923646485516656,2.2696132297583973
88,50%,2.648430320198713,2.479873053688607,2.6322719303261692
88,70%,2.973289437935181,2.8744651453967887,3.154200650071653
88,90%,4.1869925161583526,4.43167570444748,4.146131660065657
90,10%,2.499317197876735,2.500160509825946,2.8148142205660407
90,30%,3.175790413234972,3.0755815059983433,3.5501594248202313
90,50%,3.8011595638190556,4.190360432054149,4.274425800902463
90,70%,4.575661503043011,5.052560157227708,5.128236657157322
90,90%,5.516034292786571,6.658662746985647,6.273508884635158
92,10%,2.5420976416382475,2.4798611780905047,3.166696693808717
92,30%,3.0592208580070293,3.1916878451132105,3.830039222356845
92,50%,3.4578189371868575,3.4285949275003986,4.4399711101245884
92,70%,4.100870049659079,4.071958141616506,5.566069499412606
92,90%,5.000660789363337,5.587725594075073,7.189193641851489
