participant_id,percentile,delay,date
68,90%,5.3250421733385815,5.391417784498208
70,10%,2.885792756604769,2.6539924694008734
70,30%,3.2866575363183075,3.228025853006329
70,50%,3.658889046263539,3.700781450541399
70,70%,4.383664413208589,4.100510345475231
70,90%,5.591888383236347,5.029200358162962
74,10%,1.8039638072987145,1.8178889600112598
74,30%,2.058164117727574,2.1561574417115477
74,50%,2.3303011734351458,2.642454392811487
74,70%,2.9203818070316627,3.257383294076499
74,90%,3.757829085231787,4.503902782997101
75,10%,1.9153660141283582,1.770149573705794
75,30%,2.1978570913878683,2.5083815412072
75,50%,2.5943383748196993,3.105048156066914
75,70%,3.7425439883090803,4.349264246646953
75,90%,5.328841544368197,5.783829496358976
77,10%,1.8161753514110388,1.8090379318564374
77,30%,2.3143848897096175,1.9877705065471674
77,50%,2.9506576549983947,2.3963114226298785
77,70%,3.568337529583186,2.939978958668143
77,90%,4.80230759403239,3.986111740858542
79,10%,2.848973888138653,2.6896429658806253
79,30%,3.608773829313577,3.359104919602169
79,50%,4.002705966727717,3.8680276863152585
79,70%,4.454328897101937,4.200504826994893
79,90%,4.974907050743742,4.916692167120322
81,10%,1.8767732174675529,2.5012518730951343
81,30%,2.4209579777962063,3.18945189854885
81,50%,2.940144160359523,3.751099825927213
81,70%,3.7435519523297445,4.333681818499098
81,90%,4.475249959969052,5.050029015054133
82,10%,2.4366569080012597,2.5064128115895077
82,30%,3.616317720174129,3.3925974749136913
82,50%,4.541038848989842,4.319255064587651
82,70%,6.071389599571853,5.140290774234108
82,90%,8.261558384121782,6.41004424386656
83,10%,2.1214238939493955,2.3575191249786713
83,30%,2.9579091713907015,3.0038194316846782
83,50%,4.474291501916014,3.5468239767033083
83,70%,5.353470161119231,4.7430438020635854
83,90%,7.179256214167117,5.8939418823878444
84,10%,2.2693876947692844,2.2278556548655617
84,30%,3.354804486676039,2.8994967499977062
84,50%,4.212822314269943,3.5875019064346816
84,70%,5.892684676359022,4.546387390086874
84,90%,8.17294321370191,7.676146514946686
85,10%,1.6921302149075927,2.3018068027693515
85,30%,1.9618390539557367,2.869256387195128
85,50%,2.5843455324920797,3.4471215392268277
85,70%,3.04457411182957,4.208126487166555
85,90%,4.221493135190761,5.1592324495302835
89,10%,1.9422176363186736,3.6349791354537047
89,30%,2.4040052652799204,5.02346753734846
89,50%,3.3235484141255256,6.018848822380278
89,70%,4.173257193214795,7.30509267378029
89,90%,5.734987756835835,8.882488934211871
91,10%,1.652896696177777,1.7829120006379526
91,30%,1.9206765113572146,2.044158755514445
91,50%,2.2267067736618174,2.4592939546882917
91,70%,2.535511574200882,3.1782740952520268
91,90%,3.3028430176675556,4.06244880245431
93,10%,2.0424959509451357,2.4566974871387632
93,30%,2.6896467085292897,3.1183859863896486
93,50%,3.089062886918441,4.132985720064653
93,70%,3.613893354612242,4.876982920160685
93,90%,4.857787009873732,6.456268410951793
