participant_id,model_name,parameterization,bound_settings,algorithm,iter,alpha,mu,beta,kappa1,kappa2,kappa3,w,a,t0
13,DDM,time_scaling,wide,DEoptimR,21,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,22,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,23,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,24,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,25,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,26,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,27,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,6.409199563044049,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,28,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,5.477646724161831,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,29,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,5.477646724161831,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,30,0.7525185789553177,1,0.22490219130194872,1,1.6510494355002634,0.9531555164499919,0.3633738420577899,5.477646724161831,0.2738826030612028
13,DDM,time_scaling,wide,DEoptimR,31,0.792584800942908,1,0.12513834787132733,1,1.5860725196024434,0.552478577112455,0.2601675699440618,4.8361313239506805,0.9631983555621942
13,DDM,time_scaling,wide,DEoptimR,32,0.792584800942908,1,0.12513834787132733,1,1.5860725196024434,0.552478577112455,0.2601675699440618,4.8361313239506805,0.9631983555621942
13,DDM,time_scaling,wide,DEoptimR,33,0.7417308316498223,1,0.12513834787132733,1,1.5860725196024434,0.552478577112455,0.2601675699440618,4.887082371689608,0.42187374568620417
13,DDM,time_scaling,wide,DEoptimR,34,0.9833990813865174,1,0.07315215105467439,1,0.6092066750788083,0.960951025203772,0.08637644507222497,3.4297493423746417,1.1464364518972558
13,DDM,time_scaling,wide,DEoptimR,35,0.9833990813865174,1,0.07315215105467439,1,0.6092066750788083,0.960951025203772,0.08637644507222497,3.4297493423746417,1.1464364518972558
